rank,prev_rank,name,league,off,def,spi
516,517,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
517,518,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
518,519,SK Brann,Norwegian Tippeligaen,0.87,1.91,23.79
519,520,Pisa,Italy Serie B,0.8,1.79,23.78
520,521,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
521,522,FC Cincinnati,Major League Soccer,0.75,1.72,23.73
522,523,IK Sirius,Swedish Allsvenskan,0.94,2.02,23.7
523,526,Brisbane Roar,Australian A-League,0.82,1.85,23.63
524,527,Salernitana,Italy Serie B,0.75,1.74,23.54
525,528,Vegalta Sendai,Japanese J League,0.8,1.81,23.52
526,525,Dunkerque,French Ligue 2,0.67,1.61,23.52
527,529,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.95,2.05,23.46
528,530,Helsingborgs IF,Swedish Allsvenskan,0.83,1.88,23.31
529,531,Reggina,Italy Serie B,0.69,1.66,23.3
530,524,Eintracht Braunschweig,German 2. Bundesliga,0.75,1.76,23.23
531,532,Dundee Utd,Scottish Premiership,0.69,1.66,23.17
532,536,Rodez,French Ligue 2,0.71,1.7,23.13
533,533,Vancouver Whitecaps,Major League Soccer,0.84,1.9,23.13
534,535,Motherwell,Scottish Premiership,0.75,1.77,23.03
535,534,New Mexico United,United Soccer League,0.81,1.88,22.97
536,537,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
537,539,Milton Keynes Dons,English League One,0.72,1.77,22.28
538,538,St Mirren,Scottish Premiership,0.61,1.59,22.17
539,540,Sarpsborg,Norwegian Tippeligaen,0.68,1.72,22.04
540,541,Vicenza,Italy Serie B,0.74,1.82,22.04
541,542,Stromsgodset,Norwegian Tippeligaen,0.96,2.17,22.01
542,543,Lyngby,Danish SAS-Ligaen,0.84,1.99,21.98
543,544,Cremonese,Italy Serie B,0.67,1.71,21.95
544,545,Orange County SC,United Soccer League,0.77,1.88,21.91
545,558,Accrington Stanley,English League One,0.74,1.82,21.9
546,546,El Paso Locomotive FC,United Soccer League,0.66,1.7,21.89
547,547,Panionios,Greek Super League,0.51,1.45,21.84
548,548,Austin Bold FC,United Soccer League,0.94,2.16,21.69
549,549,Charleston Battery,United Soccer League,0.74,1.86,21.6
550,555,St Johnstone,Scottish Premiership,0.7,1.79,21.56
551,552,Volos NFC,Greek Super League,0.65,1.73,21.22
552,553,Cosenza,Italy Serie B,0.64,1.71,21.18
553,554,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
554,556,Blackpool,English League One,0.64,1.72,20.97
555,550,Exeter City,English League Two,0.91,2.18,20.93
556,557,Indy Eleven,United Soccer League,0.68,1.84,20.5
557,551,Pau,French Ligue 2,0.69,1.86,20.26
558,559,Shonan Bellmare,Japanese J League,0.58,1.68,20.11
559,560,Chateauroux,French Ligue 2,0.62,1.76,20.04
560,561,US Pescara,Italy Serie B,0.62,1.76,19.94
561,562,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
562,563,Virtus Entella,Italy Serie B,0.63,1.8,19.75
563,565,Salford City,English League Two,0.57,1.7,19.63
564,564,Yokohama FC,Japanese J League,0.68,1.89,19.6
565,566,Sandefjord,Norwegian Tippeligaen,0.6,1.78,19.39
566,569,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
567,571,Crewe Alexandra,English League One,0.65,1.91,18.83
568,570,Shrewsbury Town,English League One,0.59,1.8,18.73
569,572,Miami FC,United Soccer League,0.83,2.25,18.46
570,573,Falkenbergs FF,Swedish Allsvenskan,0.74,2.11,18.32
571,574,Kalmar FF,Swedish Allsvenskan,0.6,1.86,18.23
572,567,Hamilton Academical,Scottish Premiership,0.71,2.07,18.08
573,575,Saint Louis FC,United Soccer League,0.64,1.94,18.03
574,568,Gillingham,English League One,0.56,1.81,18.01
575,576,Central Coast Mariners,Australian A-League,0.72,2.09,18.01
576,577,Östersunds FK,Swedish Allsvenskan,0.65,1.97,17.92
577,587,Rochdale,English League One,0.85,2.33,17.86
578,578,IK Start,Norwegian Tippeligaen,0.67,2.04,17.68
579,580,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
580,581,Ascoli,Italy Serie B,0.6,1.96,17.07
581,582,Wigan,English League One,0.71,2.16,17.04
582,583,Mjondalen,Norwegian Tippeligaen,0.55,1.86,17.02
583,584,Charlotte Independence,United Soccer League,0.66,2.09,16.87
584,585,North Carolina FC,United Soccer League,0.65,2.09,16.69
585,579,Reggiana,Italy Serie B,0.56,1.92,16.68
586,586,LA Galaxy II,United Soccer League,0.84,2.45,16.26
587,598,Swindon Town,English League One,0.79,2.36,16.23
588,588,Cheltenham Town,English League Two,0.5,1.88,15.76
589,589,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
590,590,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
591,591,Bristol Rovers,English League One,0.56,2.01,15.48
592,592,Plymouth Argyle,English League One,0.67,2.24,15.4
593,594,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
594,595,Carlisle United,English League Two,0.54,2,15.15
595,593,Oldham Athletic,English League Two,0.78,2.46,15.05
596,596,Crawley Town,English League Two,0.59,2.12,14.99
597,599,Burton Albion,English League One,0.8,2.5,14.96
598,597,Leyton Orient,English League Two,0.58,2.12,14.81
599,604,Mansfield Town,English League Two,0.6,2.19,14.5
600,600,AFC Wimbledon,English League One,0.59,2.19,14.19
601,602,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
602,601,Ross County,Scottish Premiership,0.51,2.08,13.84
603,603,Hartford Athletic,United Soccer League,0.66,2.37,13.84
604,605,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
605,606,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
606,607,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
607,608,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
608,609,Forest Green Rovers,English League Two,0.38,1.9,12.74
609,610,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
610,611,Bolton,English League Two,0.53,2.26,12.45
611,612,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
612,613,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
613,614,Colchester United,English League Two,0.46,2.16,12.03
614,616,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
615,617,Newport County,English League Two,0.39,2.04,11.65
616,618,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
617,619,Tranmere Rovers,English League Two,0.41,2.12,11.47
618,621,Cambridge United,English League Two,0.39,2.07,11.45
619,625,Port Vale,English League Two,0.49,2.31,11.32
620,615,Barrow,English League Two,0.46,2.26,11.18
621,620,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
622,622,Northampton Town,English League One,0.41,2.21,10.67
623,623,Aalesund,Norwegian Tippeligaen,0.59,2.64,10.37
624,624,Morecambe,English League Two,0.43,2.3,10.24
625,626,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
626,627,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
627,628,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
628,629,Atlanta United 2,United Soccer League,0.57,2.67,9.86
629,630,Bradford City,English League Two,0.26,2.01,9.41
630,631,Walsall,English League Two,0.36,2.29,9.1
631,633,Stevenage,English League Two,0.2,2.09,7.65
632,632,Scunthorpe,English League Two,0.3,2.37,7.48
633,635,Southend United,English League Two,0.2,2.22,6.83
634,634,Harrogate Town,English League Two,0.2,2.26,6.57
635,636,Loudoun United FC,United Soccer League,0.34,2.65,6.51
636,637,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
637,638,Grimsby Town,English League Two,0.2,2.48,5.45
